country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,11.4,27.4,61.1,1437,1244,193,2.5,17.4,5.7,-99,180.7,83,98.3,44,62
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,6.6,42.1,51.3,1881,733,1149,3.3,56.3,9.3,7,73.2,34,33.8,39,40
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,1.3,26.3,72.4,139574,140838,-1263,1.9,2.4,11.9,7.7,130.4,54,68.9,1428,206
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.7,25.5,73.8,304691,269157,35534,1.5,3.9,11.7,5.1,142,74,31.6,552,126
Syrian Arab Republic,WesternAsia,185180,18270,99.5,102.1,28393,20.7,30,49.3,1265,2383,-1118,3.1,17.9,3.3,...,62.4,132,2.7,237,24
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,25,28,47.1,899,3030,-2132,3.5,38.9,6.9,5.2,98.6,45,3,76,14
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,9.1,35.7,55.1,213927,195666,18260,1.5,11.2,4.1,4.1,125.8,611,32,3338,83
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100,10052,12,27.9,65.1,4785,6757,-1972,1.5,9,6.5,...,105.4,110,39.6,53,53
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,5.2,79.9,14.9,94,647,-553,5.9,43.9,1.5,7.8,117.4,24,46.9,143,7
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,45.7,19.7,34.6,715,1716,-1001,4.7,55.7,5.2,5.2,65,80,3.8,111,20
Tokelau,Polynesia,12,1,130,100,-99,-99,-99,-99,~0,1,-1,2.1,-99,-99,-99,...,49,0,-99,-99
Tonga,Polynesia,747,108,150,100.7,402,22.4,21.5,56.1,14,209,-196,3.8,20.6,5.2,...,65.6,79,12.5,0,15
Trinidad and Tobago,Caribbean,5127,1369,266.9,97.1,25927,0.5,42.5,57,4576,4826,-249,1.8,24.8,5.9,...,157.7,69,45.4,1663,607
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,41199,10.3,27.8,62,13483,19456,-5973,2.3,18.5,7,6.3,129.9,96,6.6,274,39
Turkey,WesternAsia,783562,80745,104.9,97,717888,8.6,26.4,65,142606,198602,-55996,2.1,12.6,5.4,4.8,96,388,15.1,1303,65
